Model Name,Device,OS
RM-1105_12716,Lumia 950,Windows 10
RM-1116_15357,Lumia 950 XL,Windows 10
RM-1073_1004,Lumia 640,Windows 10
RM-1063_1000,Lumia 1520,Windows 10
RM-940_nam_att_200,Lumia 1520,Windows 10
RM-1118_15358,Lumia 950,Windows 10 
RM-983_1001,Lumia 830,Windows 10
RM-893_nam_att_206,Lumia 1520,Windows 10
RM-1154_15945,Lumia 950,Windows 10
RM-975_1035,Lumia 635,Windows 10
RM-1073_1001,Lumia 640,Windows 10
RM-975_1005,Lumia 635,Windows 10
RM-975_1020,Lumia 635,Windows 10
RM-985_1004,Lumia 830,Windows 10
RM-1073_1002,Lumia 640,Windows 10
RM-1078_1000,Lumia 635,Windows 10
RM-1085_11302,Lumia 950 XL,Windows 10
RM-985_1000,Lumia 830,Windows 10
RM-1064_1044,Lumia 640,Windows 10
RM-938_lta_lta_905,Lumia 1520,Windows 10
RM-985_10019,Lumia 830,Windows 10
RM-985_1011,Lumia 830,Windows 10
RM-1040_1017,Lumia 730,Windows 10
RM-1085_12547,Lumia 950,Windows 10
RM-1085_15247,Lumia 950,Windows 10
RM-1104_13976,Lumia 950,Windows 10
RM-1104_15234,Lumia 950,Windows 10
RM-1105_16048,Lumia 950,Windows 10
RM-1116_14026,Lumia 950,Windows 10
RM-1116_15285,Lumia 950,Windows 10
RM-1116_15715,Lumia 950,Windows 10
RM-1118_13880,Lumia 950,Windows 10
RM-1150_15514,Lumia 950,Windows 10
RM-975_1050,Lumia 635,Windows 10
WIN HD LTE,BLU Win HD LTE,Windows 10
RM-1038_1012,Lumia 640,Windows 10
RM-1038_1023,Lumia 1520,Windows 10
RM-1039_1029,Lumia 735,Windows 10
RM-1104_11210,Lumia 950,Windows 10
RM-1104_12744,Lumia 950,Windows 10
RM-1104_12746,Lumia 950,Windows 10
RM-1104_13756,Lumia 950,Windows 10
RM-1104_13842,Lumia 950,Windows 10
RM-1113_1002,Lumia 950,Windows 10
RM-1116_12732,Lumia 950,Windows 10
RM-1116_15181,Lumia 950,Windows 10
RM-1118_11242,Lumia 950,Windows 10
RM-1118_15185,Lumia 950,Windows 10
RM-1127_13802,Lumia 950,Windows 10
RM-1128_15566,Lumia 950,Windows 10
RM-1154_15817,Lumia 950,Windows 10
RM-927_nam_vzw_100,Lumia 929,Windows 8.1
HTC6995LVW,HTC One M8,Windows 8.1
RM-1041_1003,Lumia 735,Windows 8.1
Lumia 920,Lumia 920,Windows 8.1
RM-860_nam_usa_100,Lumia 928,Windows 8.1
RM-877_nam_att_205,Lumia 1020,Windows 8.1
0P6B180,HTC One M8,Windows 8.1
RM-845_nam_vzw_100,Lumia 822,Windows 8.1
HTC Windows Phone 8X,HTC 8X,Windows 8.1
RM-917_nam_usa_100,Lumia 520,Windows 8.1
SM-W750V,SM-W750V,Windows 8.1
SPH-I800,Samsung ATIV S Neo,Windows 8.1
0P6B140,HTC One M8,Windows 8.1
RM-877_nam_canada_234,Lumia 1020,Windows 8.1
RM-893_nam_tmous_201,Lumia 920,Windows 8.1
5055W,alcatel Fierce XL,Windows 8.1
Nokia Lumia 520,Lumia 520,Windows 8.1
RM-1045_1003,Lumia 930,Windows 8.1
RM-892_eu_euro1_205,Lumia 925,Windows 8.1
RM-1018_1007,Lumia 530,Windows 8.1
RM-1045_10078,Lumia 930,Windows 8.1
RM-1045_1046,Lumia 930,Windows 8.1
RM-1045_1050,Lumia 930,Windows 8.1
RM-1045_1064,Lumia 930,Windows 8.1
RM-1045_1069,Lumia 930,Windows 8.1
